Azimuth Angle,Radius Location,Drag_X,Drag_Y,Drag_Z,Drag_Mag
0.20944,3.01752,1.9923,-9.31432,0.132501,9.52593
0.20944,3.68808,2.8068,-13.1427,0.140577,13.4398
0.20944,4.35864,3.76039,-17.6274,0.143878,18.0246
0.20944,5.0292,4.83973,-22.7062,0.142012,23.2167
0.20944,5.69976,6.0436,-28.3729,0.13523,29.0098
0.20944,6.37032,7.47255,-35.1,0.125409,35.8868
0.226893,0.33528,0.16714,-0.699209,0.0605002,0.72145
0.226893,1.00584,0.43505,-1.85333,0.0759672,1.90522
0.226893,1.6764,0.859749,-3.6871,0.0901384,3.78708
0.226893,2.34696,1.43514,-6.17613,0.0981622,6.34144
0.226893,3.01752,2.16142,-9.32144,0.0994411,9.56927
0.226893,3.68808,3.03561,-13.1104,0.0936617,13.4575
0.226893,4.35864,4.05772,-17.5429,0.0808225,18.0062
0.226893,5.0292,5.20982,-22.5414,0.0607137,23.1357
0.226893,5.69976,6.50066,-28.1437,0.0337281,28.8847
0.226893,6.37032,8.02961,-34.7801,-6.054e-05,35.695
0.244346,0.33528,0.185539,-0.7221,0.0580893,0.747815
0.244346,1.00584,0.477806,-1.88983,0.0699209,1.95055
0.244346,1.6764,0.93461,-3.71915,0.0773443,3.83556
0.244346,2.34696,1.55451,-6.20573,0.0765091,6.39792
0.244346,3.01752,2.33078,-9.32303,0.0664237,9.61019
0.244346,3.68808,3.26343,-13.071,0.0470846,13.4723
0.244346,4.35864,4.35878,-17.4751,0.0185172,18.0105
0.244346,5.0292,5.59077,-22.4307,-0.0193352,23.117
0.244346,5.69976,6.96281,-27.9514,-0.0661163,28.8056
0.244346,6.37032,8.58388,-34.4748,-0.123203,35.5276
0.261799,0.33528,0.204528,-0.743657,0.0555218,0.773266
0.261799,1.00584,0.523069,-1.92953,0.0638151,2.00019
0.261799,1.6764,1.01392,-3.76113,0.064602,3.89593
0.261799,2.34696,1.67484,-6.2312,0.0547252,6.45259
0.261799,3.01752,2.50022,-9.31909,0.0334921,9.64872
0.261799,3.68808,3.49792,-13.0541,0.000901368,13.5146
0.261799,4.35864,4.66448,-17.4234,-0.0432408,18.037
0.261799,5.0292,5.96846,-22.3094,-0.0984575,23.0942
0.261799,5.69976,7.41911,-27.7467,-0.164443,28.7219
0.261799,6.37032,9.12489,-34.1409,-0.243911,35.3401
0.279253,0.33528,0.226246,-0.771351,0.0533289,0.805614
0.279253,1.00584,0.569594,-1.96738,0.0574599,2.04898
0.279253,1.6764,1.09462,-3.80029,0.0516224,3.95513
0.279253,2.34696,1.796,-6.25251,0.0328406,6.50543
0.279253,3.01752,2.67556,-9.33057,0.000686766,9.7066
0.279253,3.68808,3.73434,-13.0381,-0.0450767,13.5625
0.279253,4.35864,4.96907,-17.3638,-0.104511,18.0611
0.279253,5.0292,6.34259,-22.1777,-0.176582,23.0675
0.279253,5.69976,7.86927,-27.5299,-0.261171,28.6337
0.279253,6.37032,9.65152,-33.7787,-0.36194,35.1324
0.296706,0.33528,0.248706,-0.797645,0.0509247,0.83707
0.296706,1.00584,0.617299,-2.00328,0.0508702,2.09685
0.296706,1.6764,1.17661,-3.83656,0.0384264,4.01312
0.296706,2.34696,1.91964,-6.27547,0.0108953,6.56251
0.296706,3.01752,2.8531,-9.34206,-0.0321219,9.76807
0.296706,3.68808,3.97067,-13.0157,-0.0908347,13.6082
0.296706,4.35864,5.27107,-17.2923,-0.165204,18.0785
0.296706,5.0292,6.71288,-22.0357,-0.253641,23.0369
0.296706,5.69976,8.31295,-27.3012,-0.356225,28.541
0.296706,6.37032,10.1626,-33.3889,-0.477055,34.9045
0.314159,0.33528,0.271823,-0.822436,0.0483216,0.867539
0.314159,1.00584,0.666102,-2.03715,0.0440612,2.14374
0.314159,1.6764,1.25978,-3.86989,0.0250348,4.06985
0.314159,2.34696,2.04786,-6.30592,-0.0111541,6.63012
0.314159,3.01752,3.03131,-9.34841,-0.0649203,9.82781
0.314159,3.68808,4.20674,-12.9869,-0.136334,13.6519
0.314159,4.35864,5.57086,-17.2113,-0.225265,18.0918
0.314159,5.0292,7.07906,-21.8836,-0.329576,23.0025
0.314159,5.69976,8.75861,-27.088,-0.449988,28.4724
0.314159,6.37032,10.6986,-33.1,-0.591325,34.7911
0.331613,0.33528,0.297391,-0.85102,0.0458233,0.90265
