Azimuth Angle,Flap,FlapRate,FlapAcceleration,PitchLinkMoment
2.80998,-0.184924,-1.48696,38.5627,18.4754
2.82743,-0.186163,-1.45482,38.9559,17.8565
2.84489,-0.187375,-1.42236,39.3462,17.2298
2.86234,-0.188561,-1.38957,39.7372,16.6175
2.87979,-0.189719,-1.35646,40.128,16.0194
2.89725,-0.190849,-1.32302,40.5227,15.4404
2.9147,-0.191951,-1.28925,40.9185,14.8672
2.93215,-0.193026,-1.25515,41.3158,14.2781
2.94961,-0.194072,-1.22072,41.722,13.8851
2.96706,-0.195089,-1.18595,42.1277,13.5267
2.98451,-0.196077,-1.15085,42.5366,13.1597
3.00197,-0.197036,-1.1154,42.944,12.8483
3.01942,-0.197966,-1.07961,43.344,12.4744
3.03687,-0.198866,-1.04349,43.7348,11.8931
3.05433,-0.199735,-1.00705,44.1229,11.3151
3.07178,-0.200574,-0.970278,44.5078,10.7349
3.08923,-0.201383,-0.933188,44.8919,10.1405
3.10669,-0.202161,-0.895778,45.2742,9.53428
3.12414,-0.202907,-0.85805,45.6564,8.95018
3.14159,-0.203622,-0.820003,46.0395,8.36634
3.15905,-0.204305,-0.781637,46.418,7.78842
3.1765,-0.204957,-0.742955,46.7953,7.27566
3.19395,-0.205576,-0.703959,47.1743,6.94958
3.21141,-0.206163,-0.664647,47.5441,6.60646
3.22886,-0.206716,-0.625027,47.9103,6.2493
3.24631,-0.207237,-0.585101,48.2716,5.9497
3.26377,-0.207725,-0.544875,48.6296,5.6438
3.28122,-0.208179,-0.504351,48.9782,5.24585
3.29867,-0.208599,-0.463535,49.3104,4.7427
3.31613,-0.208985,-0.422443,49.6348,4.23724
3.33358,-0.209337,-0.381081,49.9505,3.7633
3.35103,-0.209655,-0.339456,50.2626,3.33516
3.36849,-0.209938,-0.29757,50.5715,2.89674
3.38594,-0.210186,-0.255427,50.8692,2.46136
3.40339,-0.210399,-0.213036,51.1644,2.10666
3.42085,-0.210576,-0.170399,51.4682,1.91472
3.4383,-0.210718,-0.127509,51.7642,1.73024
3.45575,-0.210825,-0.0843722,52.0461,1.56289
3.47321,-0.210895,-0.0410005,52.3149,1.43991
3.49066,-0.210929,0.00259524,52.578,1.37574
3.50811,-0.210927,0.0464102,52.8281,1.30836
3.52557,-0.210888,0.0904336,53.0603,1.16504
3.54302,-0.210813,0.134651,53.2722,0.855391
3.56047,-0.210701,0.179044,53.4733,0.446431
3.57792,-0.210551,0.223605,53.6587,0.0340111
3.59538,-0.210365,0.268321,53.8331,-0.357307
3.61283,-0.210141,0.313182,53.993,-0.735106
3.63028,-0.20988,0.358176,54.1685,-0.864108
3.64774,-0.209582,0.403316,54.3245,-0.997075
3.66519,-0.209246,0.448587,54.4583,-1.13779
3.68264,-0.208872,0.493969,54.5835,-1.30248
3.7001,-0.20846,0.539455,54.705,-1.43713
3.71755,-0.208011,0.585042,54.8161,-1.45007
3.735,-0.207523,0.630722,54.9071,-1.45404
3.75246,-0.206998,0.676478,54.9735,-1.46551
3.76991,-0.206434,0.72229,55.027,-1.50745
3.78736,-0.205832,0.768146,55.0557,-1.5571
3.80482,-0.205192,0.814025,55.046,-1.73027
3.82227,-0.204514,0.859897,55.0713,-1.62706
3.83972,-0.203797,0.90579,55.0858,-1.50131
3.85718,-0.203042,0.951695,55.0851,-1.34095
3.87463,-0.202249,0.997599,55.0559,-1.20223
3.89208,-0.201418,1.04348,54.9971,-1.13485
3.90954,-0.200548,1.08931,54.9265,-1.11711
3.92699,-0.199641,1.13508,54.829,-1.09719
3.94444,-0.198695,1.18077,54.7057,-1.04272
3.9619,-0.197711,1.22636,54.5834,-0.933888
3.97935,-0.196689,1.27185,54.4968,-0.627332
3.9968,-0.195629,1.31726,54.4038,-0.251884
4.01426,-0.194531,1.3626,54.2817,0.0888741
4.03171,-0.193396,1.40783,54.1312,0.392912
4.04916,-0.192222,1.45294,53.9721,0.72385
4.06662,-0.191012,1.49792,53.7759,0.926345
4.08407,-0.189763,1.54273,53.5512,1.12188
4.10152,-0.188478,1.58736,53.3136,1.37217
4.11898,-0.187155,1.63179,53.1509,2.07318
4.13643,-0.185795,1.67608,52.9743,2.84653
4.15388,-0.184398,1.72022,52.7666,3.58516
4.17134,-0.182965,1.7642,52.5284,4.28273
4.18879,-0.181495,1.80797,52.2596,4.94701
4.20624,-0.179988,1.85152,52.0195,5.83781
4.2237,-0.178445,1.89487,51.805,6.95017
4.24115,-0.176866,1.93804,51.5585,8.02756
4.2586,-0.175251,1.981,51.2803,9.07095
4.27606,-0.1736,2.02374,51.0186,10.3489
4.29351,-0.171914,2.06625,50.8244,11.9507
4.31096,-0.170192,2.10861,50.5984,13.516
4.32842,-0.168435,2.15077,50.3412,15.052
4.34587,-0.166642,2.19272,50.0528,16.5584
4.36332,-0.164815,2.23443,49.7327,18.0319
4.38078,-0.162953,2.27588,49.3862,19.5528
4.39823,-0.161057,2.31703,49.0148,21.1372
4.41568,-0.159126,2.35788,48.613,22.693
4.43314,-0.157161,2.39839,48.1809,24.2321
4.45059,-0.155162,2.43854,47.7152,25.7256
4.46804,-0.15313,2.4783,47.192,27.1726
4.4855,-0.151065,2.51763,46.639,28.6051
4.50295,-0.148967,2.5565,46.0574,30.0115
4.5204,-0.146836,2.59488,45.4479,31.389
4.53786,-0.144674,2.63275,44.811,32.7362
4.55531,-0.14248,2.67009,44.1467,34.0637
4.57276,-0.140255,2.70688,43.4554,35.3722
4.59022,-0.137999,2.74309,42.6796,36.401
4.60767,-0.135713,2.77866,41.8712,37.3837
4.62512,-0.133398,2.81355,41.0382,38.3542
4.64258,-0.131053,2.84775,40.1807,39.3134
4.66003,-0.12868,2.88124,39.2991,40.2617
4.67748,-0.126279,2.91398,38.3585,41.0577
4.69494,-0.123851,2.94595,37.3404,41.6216
4.71239,-0.121396,2.97707,36.2997,42.1724
4.72984,-0.118915,3.00732,35.239,42.7234
4.7473,-0.116409,3.03668,34.1585,43.2737
4.76475,-0.113878,3.06515,33.0583,43.8214
4.7822,-0.111324,3.0927,31.9392,44.3705
4.79966,-0.108747,3.11931,30.8015,44.9211
4.81711,-0.106147,3.14498,29.6457,45.4733
4.83456,-0.103526,3.16969,28.472,46.0271
4.85202,-0.100885,3.19341,27.2809,46.5824
4.86947,-0.0982237,3.21615,26.0726,47.1392
4.88692,-0.0955436,3.23787,24.8476,47.6971
4.90438,-0.0928453,3.25858,23.6046,48.2488
