Azimuth Angle,Radius Location,Drag_X,Drag_Y,Drag_Z,Drag_Mag
0.314159,5.0292,5.13828,-15.7948,-1.46633,16.6742
0.314159,5.69976,6.63349,-20.3934,-1.71109,21.5133
0.314159,6.37032,8.33133,-25.6154,-1.96862,27.0081
0.331613,0.33528,2.11387,-6.04554,-7.0434,9.51979
0.331613,1.00584,2.4358,-7.03668,-2.81377,7.96024
0.331613,1.6764,0.624102,-1.80659,-0.446287,1.96277
0.331613,2.34696,1.11455,-3.22909,-0.586241,3.46597
0.331613,3.01752,1.84386,-5.34465,-0.775915,5.70677
0.331613,3.68808,2.80384,-8.12976,-0.992082,8.65672
0.331613,4.35864,4,-11.6005,-1.22975,12.3322
0.331613,5.0292,5.41374,-15.703,-1.48014,16.6758
0.331613,5.69976,6.98903,-20.2747,-1.7289,21.515
0.331613,6.37032,8.77769,-25.4658,-1.99094,27.0096
0.349066,0.33528,2.22021,-6.00479,-7.04607,9.52018
0.349066,1.00584,2.55848,-6.99128,-2.81929,7.96067
0.349066,1.6764,0.655756,-1.79562,-0.447924,1.96339
0.349066,2.34696,1.17107,-3.20952,-0.589136,3.46691
0.349066,3.01752,1.93729,-5.31212,-0.780655,5.70799
0.349066,3.68808,2.94583,-8.0801,-0.999246,8.6582
0.349066,4.35864,4.20246,-11.5294,-1.23993,12.3339
0.349066,5.0292,5.6876,-15.6064,-1.49387,16.6775
0.349066,5.69976,7.34249,-20.1497,-1.74661,21.5168
0.349066,6.37032,9.22141,-25.3084,-2.01314,27.0112
0.366519,0.33528,2.32588,-5.96214,-7.04871,9.52056
0.366519,1.00584,2.68036,-6.94372,-2.82476,7.96108
0.366519,1.6764,0.687224,-1.7841,-0.449549,1.96402
0.366519,2.34696,1.22725,-3.18895,-0.592013,3.46786
0.366519,3.01752,2.03016,-5.27795,-0.785366,5.70922
0.366519,3.68808,3.08696,-8.02795,-1.00637,8.65968
0.366519,4.35864,4.40369,-11.4548,-1.25005,12.3356
0.366519,5.0292,5.95976,-15.505,-1.50752,16.6792
0.366519,5.69976,7.69375,-20.0186,-1.7642,21.5187
0.366519,6.37032,9.66236,-25.1433,-2.03519,27.0127
0.383972,0.33528,2.43083,-5.9176,-7.05131,9.52092
0.383972,1.00584,2.8014,-6.894,-2.83019,7.96147
0.383972,1.6764,0.718495,-1.77201,-0.451164,1.96464
0.383972,2.34696,1.28308,-3.16739,-0.594871,3.4688
0.383972,3.01752,2.12244,-5.24215,-0.790046,5.71044
0.383972,3.68808,3.22718,-7.97334,-1.01344,8.66117
0.383972,4.35864,4.60361,-11.3766,-1.2601,12.3373
0.383972,5.0292,6.23014,-15.3988,-1.52107,16.6809
0.383972,5.69976,8.04272,-19.8814,-1.78167,21.5205
0.383972,6.37032,10.1004,-24.9705,-2.05709,27.0143
0.401426,0.33528,2.53503,-5.87118,-7.05388,9.52126
0.401426,1.00584,2.92155,-6.84215,-2.83556,7.96184
0.401426,1.6764,0.749559,-1.75937,-0.452767,1.96525
0.401426,2.34696,1.33854,-3.14485,-0.597709,3.46973
0.401426,3.01752,2.21411,-5.20473,-0.794693,5.71166
0.401426,3.68808,3.36645,-7.91626,-1.02046,8.66265
0.401426,4.35864,4.80216,-11.295,-1.27007,12.339
0.401426,5.0292,6.49866,-15.2879,-1.53452,16.6826
0.401426,5.69976,8.38927,-19.7381,-1.79902,21.5223
0.401426,6.37032,10.5354,-24.7901,-2.07884,27.016
0.418879,0.33528,2.63844,-5.8229,-7.05642,9.52158
0.418879,1.00584,3.04078,-6.78819,-2.84089,7.96219
0.418879,1.6764,0.780406,-1.74618,-0.454359,1.96586
0.418879,2.34696,1.39361,-3.12133,-0.600527,3.47066
0.418879,3.01752,2.30512,-5.1657,-0.799307,5.71287
0.418879,3.68808,3.50473,-7.85674,-1.02743,8.66413
0.418879,4.35864,4.99929,-11.2099,-1.27998,12.3407
0.418879,5.0292,6.76524,-15.1724,-1.54788,16.6843
0.418879,5.69976,8.7333,-19.5888,-1.81624,21.5242
0.418879,6.37032,10.9672,-24.602,-2.10042,27.0176
0.436332,0.33528,2.74104,-5.77276,-7.05892,9.52189
0.436332,1.00584,3.15906,-6.73212,-2.84616,7.96252
0.436332,1.6764,0.811026,-1.73244,-0.455938,1.96647
0.436332,2.34696,1.44828,-3.09684,-0.603323,3.47159
0.436332,3.01752,2.39546,-5.12507,-0.803885,5.71408
0.436332,3.68808,3.64198,-7.79479,-1.03435,8.6656
0.436332,4.35864,5.19493,-11.1213,-1.28981,12.3424
0.436332,5.0292,7.0298,-15.0521,-1.56113,16.686
0.436332,5.69976,9.07471,-19.4334,-1.83333,21.526
0.436332,6.37032,11.3957,-24.4065,-2.12184,27.0193
0.453786,0.33528,2.84278,-5.72078,-7.06138,9.52217
0.453786,1.00584,3.27634,-6.67397,-2.85138,7.96283
0.453786,1.6764,0.84141,-1.71816,-0.457504,1.96707
0.453786,2.34696,1.50253,-3.07138,-0.606097,3.47251
0.453786,3.01752,2.48509,-5.08285,-0.808427,5.71529
0.453786,3.68808,3.77814,-7.73044,-1.04122,8.66708
0.453786,4.35864,5.38903,-11.0293,-1.29956,12.3441
0.453786,5.0292,7.29224,-14.9273,-1.57428,16.6877
0.453786,5.69976,9.4134,-19.2721,-1.85028,21.5279
0.453786,6.37032,11.8208,-24.2035,-2.14308,27.0209
0.471239,0.33528,2.94364,-5.66697,-7.06381,9.52244
0.471239,1.00584,3.39259,-6.61376,-2.85654,7.96312
0.471239,1.6764,0.871548,-1.70334,-0.459056,1.96767
0.471239,2.34696,1.55633,-3.04497,-0.608848,3.47343
0.471239,3.01752,2.57399,-5.03905,-0.812931,5.71649
0.471239,3.68808,3.91318,-7.6637,-1.04802,8.66854
0.471239,4.35864,5.58152,-10.9339,-1.30923,12.3458
0.471239,5.0292,7.5525,-14.7978,-1.58731,16.6894
