Azimuth Angle,Radius Location,Pitch_X,Pitch_Y,Pitch_Z,Pitch_Mag
0.296706,4.35864,2.45921,0.751856,0.00971586,2.57159
0.296706,5.0292,3.17233,0.96988,0.0125333,3.31731
0.296706,5.69976,3.88901,1.18899,0.0153647,4.06673
0.296706,6.37032,4.54961,1.39096,0.0179746,4.75753
0.314159,0.33528,-0.661126,-0.214813,-0.00281151,0.695155
0.314159,1.00584,-0.544851,-0.177033,-0.00231704,0.572895
0.314159,1.6764,0.505008,0.164087,0.0021476,0.531001
0.314159,2.34696,0.797759,0.259207,0.00339256,0.83882
0.314159,3.01752,1.24877,0.405751,0.00531055,1.31305
0.314159,3.68808,1.80409,0.586183,0.00767208,1.89694
0.314159,4.35864,2.44618,0.794812,0.0104026,2.57209
0.314159,5.0292,3.15552,1.02529,0.0134192,3.31794
0.314159,5.69976,3.86841,1.25692,0.0164509,4.06752
0.314159,6.37032,4.52578,1.47051,0.0192464,4.75872
0.331613,0.33528,-0.657305,-0.226328,-0.00300688,0.695186
0.331613,1.00584,-0.541942,-0.186605,-0.00247914,0.573174
0.331613,1.6764,0.502205,0.172923,0.00229737,0.531148
0.331613,2.34696,0.79333,0.273166,0.00362914,0.839051
0.331613,3.01752,1.24179,0.427582,0.00568063,1.31335
0.331613,3.68808,1.79395,0.617705,0.00820651,1.89733
0.331613,4.35864,2.4324,0.837542,0.0111271,2.57258
0.331613,5.0292,3.13774,1.08041,0.0143538,3.31857
0.331613,5.69976,3.84663,1.3245,0.0175966,4.06831
0.331613,6.37032,4.50054,1.54966,0.020588,4.75991
0.349066,0.33528,-0.653281,-0.237775,-0.00321232,0.695215
0.349066,1.00584,-0.538863,-0.19613,-0.0026497,0.573452
0.349066,1.6764,0.499247,0.181711,0.0024549,0.531293
0.349066,2.34696,0.788657,0.287048,0.00387799,0.83928
0.349066,3.01752,1.23442,0.449292,0.00606989,1.31366
0.349066,3.68808,1.78325,0.649051,0.00876863,1.89772
0.349066,4.35864,2.41787,0.880032,0.0118892,2.57307
0.349066,5.0292,3.11899,1.13522,0.0153367,3.31919
0.349066,5.69976,3.82366,1.3917,0.0188017,4.0691
