Azimuth Angle,Radius Location,Lift_X,Lift_Y,Lift_Z,Lift_Mag
0.226893,5.0292,134.975,35.2765,1515.07,1521.48
0.226893,5.69976,172.326,42.1137,1927.18,1935.33
0.226893,6.37032,215.631,49.7782,2404.35,2414.51
0.244346,0.33528,3.27971,4.6055,46.7747,47.1152
0.244346,1.00584,10.5586,7.52994,131.367,132.006
0.244346,1.6764,21.5172,10.7213,255.533,256.661
0.244346,2.34696,36.1497,14.2252,419.33,421.125
0.244346,3.01752,54.4839,18.0605,623.103,625.741
0.244346,3.68808,76.5197,22.2272,866.85,870.505
0.244346,4.35864,102.226,26.717,1150.22,1155.07
0.244346,5.0292,133.889,32.0793,1498.81,1505.12
0.244346,5.69976,170.718,38.0239,1903.51,1911.53
0.244346,6.37032,213.521,44.6834,2373.19,2383.2
0.261799,0.33528,3.45351,4.64944,49.5526,49.8899
0.261799,1.00584,10.7701,7.36371,134.373,135.004
0.261799,1.6764,21.6915,10.2749,257.759,258.874
0.261799,2.34696,36.2169,13.4215,419.815,421.588
0.261799,3.01752,54.3681,16.8175,620.807,623.41
0.261799,3.68808,76.1091,20.4533,860.331,863.933
0.261799,4.35864,101.455,24.3353,1138.56,1143.33
0.261799,5.0292,132.788,28.984,1482.09,1488.31
0.261799,5.69976,169.095,34.0759,1879.32,1887.22
0.261799,6.37032,211.407,39.7742,2341.58,2351.44
0.279253,0.33528,3.6217,4.67468,52.2497,52.5833
0.279253,1.00584,10.9778,7.18819,137.296,137.922
0.279253,1.6764,21.8582,9.82535,259.825,260.928
0.279253,2.34696,36.274,12.6259,420.075,421.827
0.279253,3.01752,54.215,15.5918,617.942,620.511
0.279253,3.68808,75.6756,18.7244,853.374,856.927
0.279253,4.35864,100.67,22.0286,1126.53,1131.23
0.279253,5.0292,131.67,25.9924,1464.92,1471.06
0.279253,5.69976,167.456,30.2716,1854.65,1862.44
0.279253,6.37032,209.285,35.0519,2309.54,2319.26
0.296706,0.33528,3.79034,4.69014,54.9514,55.2813
0.296706,1.00584,11.1812,7.00391,140.133,140.753
0.296706,1.6764,22.0169,9.37366,261.729,262.821
0.296706,2.34696,36.3135,11.8374,420.03,421.763
0.296706,3.01752,54.0422,14.391,614.721,617.26
0.296706,3.68808,75.2271,17.0446,846.089,849.598
0.296706,4.35864,99.9455,19.8134,1114.99,1119.64
0.296706,5.0292,130.533,23.1059,1447.32,1453.38
0.296706,5.69976,165.796,26.612,1829.51,1837.2
0.296706,6.37032,207.154,30.5172,2277.08,2286.69
0.314159,0.33528,3.95913,4.69585,57.6524,57.9787
0.314159,1.00584,11.3801,6.81139,142.881,143.495
0.314159,1.6764,22.1673,8.92064,263.469,264.551
0.314159,2.34696,36.3274,11.0552,419.598,421.313
0.314159,3.01752,53.855,13.2183,611.221,613.731
0.314159,3.68808,74.7625,15.4149,838.484,841.951
0.314159,4.35864,99.2182,17.6747,1103.26,1107.85
0.314159,5.0292,129.376,20.3255,1429.3,1435.29
0.314159,5.69976,164.084,23.0937,1803.58,1811.18
0.314159,6.37032,204.872,26.1525,2242.75,2252.24
0.331613,0.33528,4.12282,4.68629,60.2757,60.5981
0.331613,1.00584,11.5672,6.60722,145.447,146.056
0.331613,1.6764,22.3088,8.46725,265.044,266.116
0.331613,2.34696,36.3289,10.2852,418.938,420.636
0.331613,3.01752,53.6529,12.0751,607.447,609.931
0.331613,3.68808,74.2809,13.8367,830.569,833.999
0.331613,4.35864,98.4537,15.608,1090.97,1095.52
0.331613,5.0292,128.136,17.6446,1410.23,1416.15
0.331613,5.69976,162.295,19.7168,1776.65,1784.16
0.331613,6.37032,202.509,21.9739,2207.37,2216.75
0.349066,0.33528,4.28471,4.66615,62.8681,63.1864
0.349066,1.00584,11.7478,6.39573,147.903,148.507
0.349066,1.6764,22.4283,8.00987,266.303,267.366
0.349066,2.34696,36.3175,9.52878,418.056,419.738
0.349066,3.01752,53.4353,10.9626,603.408,605.868
0.349066,3.68808,73.7606,12.3077,822.124,825.518
0.349066,4.35864,97.6359,13.6133,1077.99,1082.49
0.349066,5.0292,126.867,15.0738,1390.73,1396.58
0.349066,5.69976,160.478,16.4905,1749.32,1756.74
0.349066,6.37032,200.113,17.9896,2171.53,2180.81
0.366519,0.33528,4.44539,4.63664,65.4375,65.752
0.366519,1.00584,11.9226,6.17796,150.255,150.854
0.366519,1.6764,22.5378,7.55433,267.392,268.446
0.366519,2.34696,36.2928,8.78674,416.953,418.622
0.366519,3.01752,53.1879,9.87923,598.957,601.395
0.366519,3.68808,73.2065,10.8307,813.225,816.585
0.366519,4.35864,96.7945,11.697,1064.67,1069.12
0.366519,5.0292,125.571,12.6143,1370.86,1376.65
0.366519,5.69976,158.631,13.4145,1721.61,1728.95
0.366519,6.37032,197.682,14.1991,2135.26,2144.44
0.383972,0.33528,4.60401,4.59739,67.9714,68.2821
