Azimuth Angle,Radius Location,Moment_X,Moment_Y,Moment_Z,Moment_Mag
0.523599,3.01752,730.861,-1282.53,-103.058,1479.75
0.523599,3.68808,1211.54,-2126.97,-176.624,2454.18
0.523599,4.35864,1883.73,-3307.9,-279.826,3816.93
0.523599,5.0292,2786.44,-4893.81,-418.505,5647.01
0.523599,5.69976,3955.01,-6946.94,-598.749,8016.26
0.523599,6.37032,5464.56,-9599.18,-831.782,11076.9
0.541052,0.33528,5.09003,-8.528,-0.367452,9.93832
0.541052,1.00584,55.8714,-93.9833,-6.45962,109.527
0.541052,1.6764,180.168,-303.454,-23.3312,353.68
0.541052,2.34696,401.064,-676.031,-55.3412,787.993
0.541052,3.01752,742.013,-1251.42,-106.809,1458.78
0.541052,3.68808,1226.35,-2069.12,-182.067,2412.12
0.541052,4.35864,1903.63,-3212.58,-287.53,3745.28
0.541052,5.0292,2810.47,-4743.65,-428.815,5530.35
0.541052,5.69976,3984.87,-6726.52,-612.352,7842.21
0.541052,6.37032,5498.65,-9282.43,-849.037,10822.2
0.558505,0.33528,5.55615,-8.96239,-0.478216,10.5558
0.558505,1.00584,57.9626,-93.7954,-7.0079,110.482
0.558505,1.6764,184.543,-298.968,-24.6029,352.198
0.558505,2.34696,408.195,-661.764,-57.6066,779.662
0.558505,3.01752,752.09,-1219.91,-110.336,1437.35
0.558505,3.68808,1238.94,-2010.39,-187.149,2368.89
0.558505,4.35864,1920.39,-3116.81,-294.616,3672.76
0.558505,5.0292,2830,-4593.71,-438.155,5413.23
0.558505,5.69976,4008.22,-6506.81,-624.548,7667.75
0.558505,6.37032,5523.61,-8967.38,-864.307,10567.5
0.575959,0.33528,6.02551,-9.36197,-0.590103,11.1491
0.575959,1.00584,60.004,-93.4659,-7.54738,111.325
0.575959,1.6764,188.696,-294.221,-25.8314,350.484
0.575959,2.34696,414.777,-647.156,-59.7607,770.988
0.575959,3.01752,760.956,-1187.85,-113.652,1415.26
0.575959,3.68808,1249.59,-1951.35,-191.846,2325.09
0.575959,4.35864,1934.2,-3021.01,-301.076,3599.76
0.575959,5.0292,2845.09,-4444.24,-446.546,5295.78
0.575959,5.69976,4025.18,-6288.13,-635.369,7493.08
0.575959,6.37032,5539.63,-8654.46,-877.641,10313
0.593412,0.33528,6.49718,-9.72765,-0.702719,11.719
0.593412,1.00584,61.991,-92.9995,-8.07706,112.058
0.593412,1.6764,192.62,-289.23,-27.0155,348.549
0.593412,2.34696,420.808,-632.246,-61.803,761.993
0.593412,3.01752,768.61,-1155.33,-116.756,1392.54
0.593412,3.68808,1258.41,-1892.24,-196.157,2280.93
0.593412,4.35864,1945.12,-2925.34,-306.923,3526.37
0.593412,5.0292,2855.86,-4295.48,-454.008,5178.15
0.593412,5.69976,4035.9,-6070.81,-644.848,7318.41
0.593412,6.37032,5546.96,-8344.14,-889.093,10059
0.610865,0.33528,6.96969,-10.0595,-0.815761,12.2653
0.610865,1.00584,63.9185,-92.3998,-8.59613,112.682
0.610865,1.6764,196.312,-284.014,-28.1541,346.403
0.610865,2.34696,426.195,-616.936,-63.741,752.539
0.610865,3.01752,775.197,-1122.61,-119.639,1369.49
0.610865,3.68808,1265.43,-1833.17,-200.089,2236.48
0.610865,4.35864,1953.21,-2829.96,-312.169,3452.7
0.610865,5.0292,2862.4,-4147.65,-460.567,5060.48
0.610865,5.69976,4040.55,-5855.18,-653.022,7143.92
0.610865,6.37032,5545.84,-8036.82,-898.719,9805.84
0.628319,0.33528,7.44167,-10.3579,-0.928935,12.7878
0.628319,1.00584,65.7489,-91.6261,-9.10654,113.142
0.628319,1.6764,199.768,-278.588,-29.2463,344.056
0.628319,2.34696,430.966,-601.313,-65.5713,742.703
0.628319,3.01752,780.731,-1089.77,-122.304,1346.14
0.628319,3.68808,1270.69,-1774.24,-203.65,2191.82
0.628319,4.35864,1958.54,-2735.03,-316.831,3378.86
0.628319,5.0292,2864.83,-4000.98,-466.248,4942.92
0.628319,5.69976,4038.83,-5640.9,-659.988,6969.04
0.628319,6.37032,5535.23,-7731.16,-906.79,9551.54
0.645772,0.33528,7.91012,-10.6209,-1.04213,13.2838
0.645772,1.00584,67.5113,-90.7317,-9.60441,113.5
0.645772,1.6764,202.987,-272.973,-30.2916,341.519
0.645772,2.34696,435.184,-585.504,-67.2894,732.617
0.645772,3.01752,785.235,-1056.86,-124.754,1322.54
0.645772,3.68808,1274.24,-1715.55,-206.849,2147
