Azimuth Angle,Radius Location,Cl,Cd,Cm,AoA,Mach
0.296706,4.35864,0.849431,0.0137156,-0.00596923,0.11019,0.301644
0.296706,5.0292,0.853922,0.0135352,-0.00545805,0.108311,0.342768
0.296706,5.69976,0.860549,0.0133687,-0.00497669,0.106833,0.383893
0.296706,6.37032,0.873839,0.0133384,-0.00372381,0.105642,0.425018
0.314159,0.33528,1.23253,0.0184425,-0.00021079,0.175323,0.0569842
0.314159,1.00584,1.03069,0.015398,-0.00394551,0.140005,0.0980332
0.314159,1.6764,0.943392,0.0145132,-0.00504843,0.125543,0.139132
0.314159,2.34696,0.895172,0.0140872,-0.0055633,0.117677,0.180247
0.314159,3.01752,0.864536,0.013844,-0.00584863,0.112734,0.221369
0.314159,3.68808,0.843499,0.013677,-0.00604455,0.109339,0.262495
0.314159,4.35864,0.829569,0.0135473,-0.006135,0.106864,0.303622
0.314159,5.0292,0.833614,0.0133598,-0.00568583,0.10498,0.344752
0.314159,5.69976,0.839636,0.0131994,-0.00523538,0.103497,0.385882
0.314159,6.37032,0.852652,0.0131712,-0.00401834,0.1023,0.427013
0.331613,0.33528,1.20501,0.0179495,-0.000802579,0.170359,0.0589187
0.331613,1.00584,1.00872,0.0151706,-0.00422893,0.136356,0.0999756
0.331613,1.6764,0.922941,0.0143076,-0.00530467,0.122158,0.141081
0.331613,2.34696,0.874663,0.0139244,-0.00575431,0.114368,0.182202
0.331613,3.01752,0.844165,0.0136823,-0.00603835,0.109446,0.22333
0.331613,3.68808,0.823153,0.0135156,-0.00623405,0.106056,0.264461
0.331613,4.35864,0.809779,0.0133914,-0.00628617,0.103578,0.305595
0.331613,5.0292,0.813141,0.0132168,-0.00585364,0.101688,0.34673
0.331613,5.69976,0.818668,0.013054,-0.00544252,0.100199,0.387866
0.331613,6.37032,0.831447,0.0130231,-0.00427631,0.0989956,0.429003
0.349066,0.33528,1.17828,0.0174959,-0.00135603,0.165584,0.0608426
0.349066,1.00584,0.987117,0.0149532,-0.00449992,0.13278,0.101908
0.349066,1.6764,0.902301,0.0141437,-0.00549691,0.118827,0.14302
0.349066,2.34696,0.85445,0.013764,-0.00594257,0.111106,0.184147
