Azimuth Angle,Radius Location,Drag_X,Drag_Y,Drag_Z,Drag_Mag
0.244346,1.00584,0,-1.92705,0.301843,1.95055
0.244346,1.6764,0,-3.79824,0.533775,3.83556
0.244346,2.34696,0,-6.34279,0.838115,6.39792
0.244346,3.01752,0,-9.53364,1.21061,9.61019
0.244346,3.68808,0,-13.3708,1.65127,13.4723
0.244346,4.35864,0,-17.8801,2.16321,18.0105
0.244346,5.0292,0,-22.9548,2.73356,23.117
0.244346,5.69976,0,-28.6085,3.36434,28.8056
0.244346,6.37032,0,-35.2893,4.10787,35.5276
0.261799,0.33528,0,-0.759126,0.147201,0.773266
0.261799,1.00584,0,-1.97731,0.301693,2.00019
0.261799,1.6764,0,-3.85995,0.528287,3.89593
0.261799,2.34696,0,-6.3999,0.82293,6.45259
0.261799,3.01752,0,-9.576,1.18239,9.64872
0.261799,3.68808,0,-13.4183,1.61026,13.5146
0.261799,4.35864,0,-17.9138,2.10478,18.037
0.261799,5.0292,0,-22.9414,2.65194,23.0942
0.261799,5.69976,0,-28.5368,3.25629,28.7219
0.261799,6.37032,0,-35.117,3.96512,35.3401
0.279253,0.33528,0,-0.791735,0.148893,0.805614
0.279253,1.00584,0,-2.02672,0.30119,2.04898
0.279253,1.6764,0,-3.92048,0.522417,3.95513
0.279253,2.34696,0,-6.45513,0.80742,6.50543
0.279253,3.01752,0,-9.63745,1.15658,9.7066
0.279253,3.68808,0,-13.4713,1.57011,13.5625
0.279253,4.35864,0,-17.9448,2.04654,18.0611
0.279253,5.0292,0,-22.9238,2.57082,23.0675
0.279253,5.69976,0,-28.46,3.14926,28.6337
0.279253,6.37032,0,-34.9238,3.82259,35.1324
0.296706,0.33528,0,-0.823472,0.150266,0.83707
0.296706,1.00584,0,-2.07522,0.300341,2.09685
0.296706,1.6764,0,-3.97978,0.516183,4.01312
0.296706,2.34696,0,-6.51451,0.792346,6.56251
0.296706,3.01752,0,-9.70235,1.13118,9.76807
0.296706,3.68808,0,-13.522,1.52991,13.6082
0.296706,4.35864,0,-17.9689,1.98805,18.0785
0.296706,5.0292,0,-22.9019,2.49027,23.0369
0.296706,5.69976,0,-28.3783,3.04333,28.541
0.296706,6.37032,0,-34.7099,3.68053,34.9045
0.314159,0.33528,0,-0.85424,0.151321,0.867539
0.314159,1.00584,0,-2.12276,0.299155,2.14374
0.314159,1.6764,0,-4.03782,0.5096,4.06985
0.314159,2.34696,0,-6.58427,0.778415,6.63012
0.314159,3.01752,0,-9.76543,1.10558,9.82781
0.314159,3.68808,0,-13.5704,1.48972,13.6519
0.314159,4.35864,0,-17.9886,1.92969,18.0918
0.314159,5.0292,0,-22.8758,2.41036,23.0025
0.314159,5.69976,0,-28.32,2.94154,28.4724
0.314159,6.37032,0,-34.6092,3.55291,34.7911
0.331613,0.33528,0,-0.889583,0.153032,0.90265
0.331613,1.00584,0,-2.17621,0.298593,2.1966
0.331613,1.6764,0,-4.09463,0.502695,4.12537
0.331613,2.34696,0,-6.65267,0.764185,6.69641
0.331613,3.01752,0,-9.82669,1.07981,9.88584
0.331613,3.68808,0,-13.6167,1.44957,13.6936
0.331613,4.35864,0,-18.0196,1.87314,18.1167
0.331613,5.0292,0,-22.8993,2.33664,23.0182
0.331613,5.69976,0,-28.3064,2.84581,28.4491
0.331613,6.37032,0,-34.5513,3.43164,34.7213
0.349066,0.33528,0,-0.925408,0.154649,0.938241
0.349066,1.00584,0,-2.22983,0.29783,2.24963
0.349066,1.6764,0,-4.16146,0.496836,4.19101
0.349066,2.34696,0,-6.71969,0.749685,6.76138
0.349066,3.01752,0,-9.88616,1.05391,9.94217
0.349066,3.68808,0,-13.6794,1.41143,13.752
0.349066,4.35864,0,-18.0753,1.81968,18.1667
0.349066,5.0292,0,-22.9242,2.26393,23.0357
0.349066,5.69976,0,-28.2895,2.75106,28.4229
0.349066,6.37032,0,-34.4874,3.31166,34.646
0.366519,0.33528,0,-0.960645,0.155997,0.973228
0.366519,1.00584,0,-2.28279,0.296766,2.302
